Text,Option1,Option2,Option3,Option4,CorrectOption
What color is the sky due to Rayleigh scattering?,Red,Yellow,Blue,Green,Option3
What force keeps planets in orbit around the sun?,Magnetism,Gravity,Electrostatic,Friction,Option2
What is the chemical symbol for water?,H2O,O2,HO,CO2,Option1
What is the center of an atom called?,Orbital,Proton,Electron,Nucleus,Option4
Which planet is known as the Red Planet?,Mercury,Mars,Jupiter,Venus,Option2
What is the freezing point of water in Celsius?,0°C,-10°C,32°F,100°C,Option1
What phenomenon causes a rainbow?,Refraction,Dispersion,Diffraction,Reflection,Option1
What is the main gas in Earth's atmosphere?,Argon,Nitrogen,Carbon Dioxide,Oxygen,Option2
What kind of wave is a sound wave?,Surface,Standing,Transverse,Longitudinal,Option4
What device measures atmospheric pressure?,Hygrometer,Thermometer,Barometer,Anemometer,Option3
What is the chemical formula for table salt?,Na2O,NaCl,CaCl2,KCl,Option2
What type of energy is stored in a stretched spring?,Potential energy,Chemical energy,Thermal energy,Kinetic energy,Option1
What is the speed of light in a vacuum (approx)?,"3,000 km/s","150,000 km/s","300,000 km/s","30,000 km/s",Option3
What scale measures earthquake magnitude?,Mohs scale,Fujita scale,Beaufort scale,Richter scale,Option4
What particle has a negative charge?,Proton,Electron,Positron,Neutron,Option2
What is the main component of the sun?,Oxygen,Carbon,Helium,Hydrogen,Option4
What phenomenon keeps us on the ground?,Friction,Centrifugal force,Magnetism,Gravity,Option4
What is the SI unit of force?,Joule,Watt,Pascal,Newton,Option4
What do you call liquid turning into gas?,Sublimation,Condensation,Evaporation,Precipitation,Option3
What branch of science studies matter and its interactions?,Physics,Biology,Chemistry,Geology,Option3
