Text,Option1,Option2,Option3,Option4,CorrectOption
What is the capital of Australia?,Canberra,Brisbane,Sydney,Melbourne,Option1
Which element has the atomic number 1?,Hydrogen,Carbon,Oxygen,Helium,Option1
Who painted the Mona Lisa?,Michelangelo,Raphael,Donatello,Leonardo da Vinci,Option4
"In computing, what does CPU stand for?",Central Processing Unit,Central Performance Unit,Computer Processing Unit,Computer Primary Unit,Option1
What is the largest planet in our solar system?,Saturn,Jupiter,Mars,Earth,Option2
Who wrote 'Romeo and Juliet'?,John Milton,Charles Dickens,Christopher Marlowe,William Shakespeare,Option4
How many continents are there on Earth?,Seven,Eight,Six,Five,Option1
What is the chemical symbol for gold?,Go,Ag,Gd,Au,Option4
"At what temperature does water freeze at sea level, in Celsius?",0°C,-1°C,32°F,100°C,Option1
In what year did the Titanic sink?,1912,1905,1913,1914,Option1
Which gas do plants primarily absorb from the atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Carbon monoxide,Option3
Who is known as the 'Father of Computers'?,Alan Turing,Steve Jobs,Charles Babbage,Bill Gates,Option3
What is the tallest mountain in the world?,Mount Everest,Lhotse,Kangchenjunga,K2,Option1
What currency is used in Japan?,Yuan,Dollar,Won,Yen,Option4
What is the hardest natural substance on Earth?,Iron,Quartz,Diamond,Graphite,Option3
Who discovered penicillin?,Marie Curie,Louis Pasteur,Alexander Fleming,Jonas Salk,Option3
What is the largest ocean on Earth?,Atlantic Ocean,Arctic Ocean,Indian Ocean,Pacific Ocean,Option4
Which planet is known as the Red Planet?,Venus,Mars,Mercury,Jupiter,Option2
How many players are on the field for one team in a standard game of football (soccer)?,11,9,10,12,Option1
What is the primary language spoken in Brazil?,English,French,Portuguese,Spanish,Option3
